	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
Icosl	340.912912467965	0.301447440688844	0.119721291813534	2.51791002354325	0.0118053474327314	0.999680625307699
Spg7	1388.73374795267	-0.0820291597904473	0.0655168816313275	-1.25203089261844	0.210558607363677	0.999680625307699
Sult5a1	247.23644740037	-0.0138124167177656	0.213110236300854	-0.06481348318842	0.948322505991828	0.999680625307699
Rpl13	5965.5856620824	0.061291528870507	0.0455828794299945	1.34461731327521	0.178748849358215	0.999680625307699
Chmp1a	1606.59565758768	-0.0278809710406875	0.0618201890267999	-0.451001064208987	0.651988781977584	0.999680625307699
Rpa1	1057.04152689515	0.00577128601697567	0.0726026067833506	0.0794914435262283	0.936641737154691	0.999680625307699
Serpinf1	11165.3314306324	0.0689803160846385	0.0798659471133761	0.863701221582152	0.38775204240557	0.999680625307699
Tubgcp3	737.132305159776	0.0584132580925783	0.070985965754089	0.822884600808767	0.410573620542649	0.999680625307699
Polr3d	347.799638668578	-0.13520056006173	0.10361978136357	-1.30477557742911	0.191969277638241	0.999680625307699
Tcf7	118.590707097945	0.0185812764667272	0.234190727370879	0.0793424943648631	0.936760207202532	0.999680625307699
Ddx3x	3564.98938363908	-0.0874691275645977	0.0816328680509526	-1.07149399075385	0.283947371249844	0.999680625307699
Il12rb1	23.3581197313598	0.195947930681441	0.457161490955163	0.428618627242729	0.668200787483318	0.999680625307699
Slc5a5	149.874096591131	-0.175898450531433	0.208254303708432	-0.844632967478555	0.398315796342016	0.999680625307699
Kcnn3	213.291030760876	-0.0937020808515225	0.197924379755253	-0.473423642743717	0.635910965460708	0.999680625307699
Usp32	652.291519517052	-0.0314907890518806	0.125160432762678	-0.251603389000673	0.801347638838337	0.999680625307699
Car4	53.3375188218865	-0.16711028758071	0.296995847755327	-0.562668767404384	0.573660455671642	0.999680625307699
Txnrd3	217.435867532513	-0.0486043804954655	0.156573306090955	-0.310425715014479	0.75623724159056	0.999680625307699
Fasl	5.3783993007743	0.429521669543356	0.962877005951092	0.446081552356826	0.655538337880026	0.999680625307699
Zfp512b	1101.17773810567	-0.000253556341756783	0.0744325112085235	-0.00340652676686457	0.997281990143581	0.999680625307699
Dnajc5	2395.11261765145	-0.00494686362338661	0.0521647180728314	-0.0948315989454767	0.924448587638109	0.999680625307699
Tpd52l2	985.950615040881	0.084407760464868	0.0709434074273144	1.18979005274519	0.234128920232988	0.999680625307699
Fmr1	634.335398405434	-0.0196366785868443	0.0999269440260948	-0.196510348417304	0.844210733710784	0.999680625307699
Bcl11a	33.4296473553533	-0.156823027588918	0.32390413025009	-0.484164951733813	0.628268808300749	0.999680625307699
Il4	36.2828481560002	0.130376827540527	0.292562160638244	0.445638038959312	0.655858728574717	0.999680625307699
Pxmp4	536.761609326639	-0.0609239354453435	0.0946042692186187	-0.643987168322773	0.519583754820585	0.999680625307699
Dlg3	767.570221483258	-0.0995432589682852	0.0921400687341998	-1.08034713166366	0.279987628994359	0.999680625307699
Gnb1l	79.366656842406	0.125524371721858	0.204111970618506	0.614978001248482	0.538569248582504	0.999680625307699
Mmp11	419.468426262792	-0.0309962987288148	0.10802563585124	-0.286934656617055	0.774162353579948	0.999680625307699
Smarcb1	956.094029178583	-0.0171930143542351	0.0778642066702171	-0.22080767389121	0.825242188155298	0.999680625307699
Vpreb3	12.9637518343795	-0.0615627783597544	0.526343289266942	-0.11696316760397	0.906889241085531	0.999680625307699
Hip1r	892.899460782479	0.0732129007850248	0.109284000574977	0.669932473187555	0.502900837770318	0.999680625307699
Nsun5	253.900647834306	0.0589521327536353	0.121628256576328	0.484691094101474	0.627895484843714	0.999680625307699
Top1mt	213.57166574182	0.183265843483298	0.160219475036223	1.14384249131926	0.252688964383764	0.999680625307699
